[BEGIN] 2023/4/5 21:32:55
72 processes; 356 threads;
CPU states: 78.5% user, 8.3% kernel
CPU  0 Idle: 13.3%
CPU  1 Idle: 12.7%
Memory: 3596M total, 887M avail, page size 4K

   TS          PID PRI STATE    HH:MM:SS    CPU    LASTCPU               COMMAND THREAD_NAME  
13:32:55     40972  12 Rdy       0:01:23  11.91%      0                      pps 1
13:32:55   1196090  10 NSlp      0:00:51   9.58%      1                mv_fusion 1
13:32:55    725024  21 Rdy       0:00:53   8.09%      1                   mv_avm tivxGpuAvmProcess(3)
13:32:55   1228863  10 NSlp      0:00:27   4.57%      1                   mv_psd psd_process_task(14)
13:32:55         1  21 Rcv       0:00:09   3.54%      0                   kernel 13
13:32:55         1  10 Run       0:00:07   2.79%      1                   kernel 17
13:32:55    573468  30 NSlp      0:00:18   2.52%      1 IpcAdapterSVC_A58_S.1_230314 recvMsgThread(4)
13:32:55   1228863  12 SigW      0:00:12   1.79%      1                   mv_psd ppsrec_601(11)
13:32:55    610328  12 SigW      0:00:11   1.68%      1      avm3d_gui_A58_V1.98 ppsrec_507(2)
13:32:55    725024  41 NSlp      0:00:08   1.66%      1                   mv_avm avm_graph_process(10)
13:32:55    725024  12 SigW      0:00:11   1.55%      1                   mv_avm ppsrec_601(7)
13:32:55    573468  12 Rdy       0:00:11   1.51%      0 IpcAdapterSVC_A58_S.1_230314 ppsrec_407(2)
13:32:55   1196096  12 SigW      0:00:10   1.48%      1              mv_decision ppsrec_151(2)
13:32:55   1228863  10 CdV       0:00:08   1.38%      1                   mv_psd 3
13:32:55   1196090  12 SigW      0:00:07   1.22%      1                mv_fusion ppsrec_154(2)
13:32:55    577572  20 CdV       0:00:08   1.18%      0    vx_desay_dispatch.out 1
13:32:55    933934  12 SigW      0:00:07   1.02%      1      parking_manager_cmw ppsrec_103(8)
13:32:55    995378  12 SigW      0:00:06   1.00%      1 obstacle_fusion_parking_app_cmw ppsrec_100(3)
13:32:55         1  10 Rdy       0:00:02   0.98%      0                   kernel 12
13:32:55    602145  20 Rcv       0:00:06   0.95%      0             io-pkt-v4-hc io-pkt#0x00(2)
13:32:55    995372  12 SigW      0:00:06   0.95%      1             renderer_app ppsrec_507(7)
13:32:55         1  31 Rcv       0:00:06   0.93%      0                   kernel 14
13:32:55    512021  20 Rcv       0:00:06   0.92%      0                   screen pvrsrv_pulse_misr_handler(16)
13:32:55    225299  21 Rcv       0:00:06   0.91%      1                tiipc-mgr 2
