Computing times...49 processes; 199 threads;
CPU states: 3.6% user, 0.7% kernel
CPU  0 Idle: 94.7%
CPU  1 Idle: 96.5%
Memory: 3596M total, 2036M avail, page size 4K

   TS          PID PRI STATE    HH:MM:SS    CPU    LASTCPU               COMMAND THREAD_NAME  
16:07:00         1  10 Run       0:00:02   0.68%      0                   kernel 17
16:07:00     40972  12 Rcv       0:00:04   0.60%      1                      pps 1
16:07:00    569368  30 NSlp      0:00:04   0.54%      0 IpcAdapterSVC_A58_S.0_0928 recvMsgThread(4)
16:07:00    655377  20 CdV       0:00:02   0.34%      0    vx_desay_dispatch.out 1
16:07:00    729124  12 SigW      0:00:02   0.29%      1      avm3d_gui_A58_V1.57 ppsrec_507(2)
16:07:00    729124  10 CdV       0:00:08   0.28%      0      avm3d_gui_A58_V1.57 1
16:07:00    729124  10 NSlp      0:00:01   0.21%      0      avm3d_gui_A58_V1.57 QSGRenderThread(7)
16:07:00    647188  20 CdV       0:00:01   0.18%      1 vx_desay_capture_display_csitx_front_view.out 1
16:07:00    229392  21 Rcv       0:00:01   0.12%      0                tiipc-mgr 2
16:07:00    512009  10 Run       0:00:01   0.12%      0             io-pkt-v4-hc io-pkt#0x00(2)
16:07:00    745482  10 NSlp      0:00:00   0.10%      1       uds_app_bootloader 1
16:07:00    229392  20 Rcv       0:00:00   0.07%      1                tiipc-mgr 10
16:07:00    901171  10 Rply      0:00:00   0.06%      1                     mtop 1
16:07:00    655377  20 Rply      0:00:00   0.06%      0    vx_desay_dispatch.out 2
16:07:00    229392  20 Sem       0:00:00   0.06%      0                tiipc-mgr 7
16:07:00    647188  20 Rply      0:00:00   0.06%      1 vx_desay_capture_display_csitx_front_view.out 2
16:07:00    647188  20 CdV       0:00:00   0.05%      1 vx_desay_capture_display_csitx_front_view.out 3
16:07:00    655377  20 CdV       0:00:00   0.05%      0    vx_desay_dispatch.out 3
16:07:00    569368  12 SigW      0:00:00   0.04%      0 IpcAdapterSVC_A58_S.0_0928 ppsrec_407(2)
16:07:00    569372  19 NSlp      0:00:00   0.04%      1          ErrorManagement 2
